Title,Permalink,Date,Categories,post_views_count
Future of AI,https://example.com/future-ai,2024-06-15,Technology,6500
Space Exploration Update,https://example.com/space-update,2024-05-01,Science,6200
Climate Change Report,https://example.com/climate-2024,2024-03-20,Environment,5900
Tech Trends 2024,https://example.com/tech-trends-2024,2024-02-01,Technology,5600
New Year Resolutions,https://example.com/resolutions-2024,2024-01-01,Lifestyle,5300
Year in Review 2023,https://example.com/review-2023,2023-12-31,General,5000
Holiday Tech Gifts,https://example.com/tech-gifts-2023,2023-12-10,Technology,4700
Autumn Travel Guide,https://example.com/autumn-travel-2023,2023-09-15,Travel,4400
Summer Reading List,https://example.com/summer-reads-2023,2023-06-01,Books,4100
Spring Fitness Tips,https://example.com/spring-fitness-2023,2023-04-01,Health,3800
Women's History Month,https://example.com/womens-history-2023,2023-03-08,History,3500
Valentine's Day Ideas,https://example.com/valentines-2023,2023-02-14,Lifestyle,3200
"New Year, New You",https://example.com/new-year-2023,2023-01-01,Self-Improvement,2900
Holiday Recipes,https://example.com/holiday-recipes-2022,2022-12-15,Food,2600
Black Friday Guide,https://example.com/black-friday-2022,2022-11-20,Shopping,2300
Halloween Costumes,https://example.com/halloween-2022,2022-10-15,Entertainment,2000
Back to School Tips,https://example.com/back-to-school-2022,2022-08-20,Education,1700
Summer Vacation Ideas,https://example.com/summer-vacation-2022,2022-06-01,Travel,1400
Earth Day Special,https://example.com/earth-day-2022,2022-04-22,Environment,1100
New Year Reflections,https://example.com/new-year-2022,2022-01-01,Personal Growth,800